,element,terminal,mode,action,residual,VIPolar,PPolar,basefreq,enabled,like
Monitor.m1,line.l(r:rdt1527-rhs0_1247),1,0,,NO,YES,YES,60,True,
Monitor.m2,line.l(r:rdt1527-rhs0_1247),1,1,,NO,YES,YES,60,True,
