Hour=1034, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1051, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1081, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1097, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1105, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1117, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1129, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1145, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1178, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1217, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1225, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1241, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1249, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1265, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1272, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1313, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1322, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1339, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1345, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1362, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1393, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1401, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1418, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1553, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1636, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1651, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1657, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1675, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=1777, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=1890, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2042, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2059, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2065, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2083, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2088, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2105, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2113, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2177, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2185, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2200, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2209, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2324, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2352, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2464, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2472, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2487, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2496, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2512, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2520, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2584, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2592, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2634, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2641, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2657, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2663, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2752, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2759, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2775, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2783, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2823, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2832, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2872, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2880, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2895, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2897, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=2902, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=2905, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2919, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2920, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=2926, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=2928, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2943, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2944, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=2950, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=2952, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2965, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=2967, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=2975, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=2979, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=2991, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3001, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3017, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3024, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3039, Sec=1800, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3048, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3064, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3072, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3087, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3088, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3094, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3096, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3110, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3111, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3118, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3120, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
Hour=3132, Sec=0, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.01875.
Hour=3135, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED 1 TAPS TO 1.025.
Hour=3143, Sec=2700, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.01875.
Hour=3147, Sec=900, ControlIter=1, Element=Regulator.trans_addreg_rdt1844-rdt2155xx, Action= CHANGED -1 TAPS TO 1.0125.
