,phases,windings,wdg,bus,conn,kV,kVA,tap,%R,Rneut,Xneut,buses,conns,kVs,kVAs,taps,XHL,XHT,XLT,Xscarray,thermal,n,m,flrise,hsrise,%loadloss,%noloadloss,normhkVA,emerghkVA,sub,MaxTap,MinTap,NumTaps,subname,%imag,ppm_antifloat,%Rs,bank,XfmrCode,XRConst,X12,X13,X23,LeadLag,WdgCurrents,Core,RdcOhms,Seasons,Ratings,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Transformer.tr(r:rdt1538-rdt1538lv),1,3,3,rdt1538lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1538.1', 'rdt1538lv.1.0', 'rdt1538lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.436985, (-6.5857), 12.6098, (173.15), 12.60882, (173.18), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1540-rdt1540lv),1,3,3,rdt1540lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1540.3', 'rdt1540lv.1.0', 'rdt1540lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3255514, (93.522), 9.508588, (-87.259), 9.50637, (-87.236), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1541-rdt1541lv),1,3,3,rdt1541lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1541.2', 'rdt1541lv.1.0', 'rdt1541lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.7843949, (-148.03), 23.0935, (31.37), 23.08353, (31.418), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1542-rdt1542lv),1,3,3,rdt1542lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1542.1', 'rdt1542lv.1.0', 'rdt1542lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.394517, (-5.383), 41.33983, (174.52), 41.33302, (174.61), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1543-rdt1543lv),1,3,3,rdt1543lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1543.3', 'rdt1543lv.1.0', 'rdt1543lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.846999, (92.07), 54.72764, (-88.333), 54.70072, (-88.278), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1544-rdt1544lv),1,3,3,rdt1544lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1544.1', 'rdt1544lv.1.0', 'rdt1544lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3273123, (-26.671), 9.562467, (152.56), 9.560239, (152.58), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1545-rdt1545lv),1,3,3,rdt1545lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1545.1', 'rdt1545lv.1.0', 'rdt1545lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1907418, (-29.687), 5.472971, (148.84), 5.472053, (148.85), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1546-rdt1546lv),1,3,3,rdt1546lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1546.2', 'rdt1546lv.1.0', 'rdt1546lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1724008, (-147.35), 4.916917, (31.135), 4.91619, (31.148), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1547-rdt1547lv),1,3,3,rdt1547lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1547.1', 'rdt1547lv.1.0', 'rdt1547lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.4170422, (-4.8283), 12.22498, (175.06), 12.22381, (175.09), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1548-rdt1548lv),1,3,3,rdt1548lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1548.2', 'rdt1548lv.1.0', 'rdt1548lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.7374839, (-148.36), 21.68808, (31.006), 21.67918, (31.051), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1549-rdt1549lv),1,3,3,rdt1549lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1549.3', 'rdt1549lv.1.0', 'rdt1549lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1905237, (90.299), 5.466377, (-91.175), 5.465464, (-91.162), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1550-rdt1550lv),1,3,3,rdt1550lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1550.3', 'rdt1550lv.1.0', 'rdt1550lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"2.033722, (107.54), 60.25449, (-72.645), 60.23895, (-72.578), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1551-rdt1551lv),1,3,3,rdt1551lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1551.3', 'rdt1551lv.1.0', 'rdt1551lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3395092, (89.899), 9.754625, (-91.547), 9.752645, (-91.526), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1552-rdt1552lv),1,3,3,rdt1552lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1552.3', 'rdt1552lv.1.0', 'rdt1552lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1379697, (92.316), 3.885361, (-89.613), 3.884872, (-89.603), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1553-rdt1553lv),1,3,3,rdt1553lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1553.3', 'rdt1553lv.1.0', 'rdt1553lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1084038, (93.408), 2.996245, (-88.998), 2.995935, (-88.99), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1554-rdt1554lv),1,3,3,rdt1554lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1554.3', 'rdt1554lv.1.0', 'rdt1554lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1379706, (92.316), 3.885392, (-89.613), 3.884903, (-89.603), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1555-rdt1555lv),1,3,3,rdt1555lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1555.3', 'rdt1555lv.1.0', 'rdt1555lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.9819858, (92.058), 29.02495, (-88.419), 29.0095, (-88.36), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1556-rdt1556lv),1,3,3,rdt1556lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1556.3', 'rdt1556lv.1.0', 'rdt1556lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.040717, (107.74), 30.73729, (-72.482), 30.72915, (-72.413), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1557-rdt1557lv),1,3,3,rdt1557lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1557.2', 'rdt1557lv.1.0', 'rdt1557lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.4673712, (-124.34), 13.52345, (55.508), 13.52266, (55.54), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1558-rdt1558lv),1,3,3,rdt1558lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1558.2', 'rdt1558lv.1.0', 'rdt1558lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.264328, (-147.73), 37.24132, (31.71), 37.22859, (31.748), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1559-rdt1559lv),1,3,3,rdt1559lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1559.2', 'rdt1559lv.1.0', 'rdt1559lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.09923833, (-146.57), 2.721471, (30.778), 2.721206, (30.785), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1560-rdt1560lv),1,3,3,rdt1560lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1560.2', 'rdt1560lv.1.0', 'rdt1560lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.4177701, (-124.93), 12.24738, (54.959), 12.2462, (54.991), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1561-rdt1561lv),1,3,3,rdt1561lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1561.3', 'rdt1561lv.1.0', 'rdt1561lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3818866, (91.785), 11.2044, (-88.905), 11.20125, (-88.879), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1562-rdt1562lv),1,3,3,rdt1562lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1562.2', 'rdt1562lv.1.0', 'rdt1562lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.7000898, (-148.84), 20.56837, (30.486), 20.56025, (30.529), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1563-rdt1563lv),1,3,3,rdt1563lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1563.2', 'rdt1563lv.1.0', 'rdt1563lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.4678619, (-124.35), 13.53816, (55.499), 13.53736, (55.531), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1564-rdt1564lv),1,3,3,rdt1564lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1564.1', 'rdt1564lv.1.0', 'rdt1564lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3817883, (-28.196), 11.2015, (151.11), 11.19836, (151.14), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1575-rdt1575lv),1,3,3,rdt1575lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1575.1', 'rdt1575lv.1.0', 'rdt1575lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.6859915, (-18.43), 20.1093, (161.13), 20.10417, (161.17), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1576-rdt1576lv),1,3,3,rdt1576lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1576.2', 'rdt1576lv.1.0', 'rdt1576lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.1190912, (-148.84), 3.322824, (28.842), 3.322439, (28.85), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1577-rdt1577lv),1,3,3,rdt1577lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1577.1', 'rdt1577lv.1.0', 'rdt1577lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.6174049, (-10.785), 18.03434, (168.93), 18.03175, (168.97), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1578-rdt1578lv),1,3,3,rdt1578lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1578.1', 'rdt1578lv.1.0', 'rdt1578lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.3110387, (-24.87), 8.880059, (153.82), 8.878649, (153.84), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1579-rdt1579lv),3,2,2,rdt1579lv,wye ,0.48,150,1,1.0784,-1,0,"['rdt1579', 'rdt1579lv']","['wye', 'wye']","['12.47', '0.48']","['150', '150']","['1', '1']",3.39,35,30,['3.39'],2,.8,.8,65,15,2.1568,0.516667,165,225,n,1.1,0.9,32,,0,1,"['1.0784', '1.0784']",,,NO,3.39,35,30,Lag,"0.8427139, (-5.7087), 20.95617, (174.09), 0.8426777, (-125.62), 20.9549, (54.176), 0.8430677, (114.28), 20.96565, (-65.927), ",shell,0.004693197,1,['1100'],7.6394,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1580-rdt1580lv),1,3,3,rdt1580lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1580.1', 'rdt1580lv.1.0', 'rdt1580lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8051728, (-10.391), 23.66759, (169.39), 23.6635, (169.44), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1581-rdt1581lv),1,3,3,rdt1581lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1581.3', 'rdt1581lv.1.0', 'rdt1581lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.3300844, (92.838), 9.64816, (-87.922), 9.645869, (-87.899), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1582-rdt1582lv),1,3,3,rdt1582lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1582.1', 'rdt1582lv.1.0', 'rdt1582lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.117719, (-15.457), 33.05709, (164.29), 33.04586, (164.37), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1583-rdt1583lv),1,3,3,rdt1583lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1583.3', 'rdt1583lv.1.0', 'rdt1583lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.292668, (116.53), 38.28631, (-63.539), 38.28274, (-63.452), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1584-rdt1584lv),1,3,3,rdt1584lv.0.2,wye ,0.12,10,1,0.832101,-1,0,"['rdt1584.3', 'rdt1584lv.1.0', 'rdt1584lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['10', '10', '10']","['1', '1', '1']",1.08,0.72,1.08,"['1.08', '0.72', '1.08']",2,.8,.8,65,15,1.248151,0.68,11,15,n,1.1,0.9,32,,0,1,"['0.41605', '0.832101', '0.832101']",,,NO,1.08,0.72,1.08,Lag,"0.08023802, (94.455), 2.150296, (-88.725), 2.150123, (-88.719), ",shell,0.01018492,1,['1100'],1.5278,2.0833,0.007,100,36,60,True,
Transformer.tr(r:rdt1585-rdt1585lv),1,3,3,rdt1585lv.0.2,wye ,0.12,50,1,0.532544,-1,0,"['rdt1585.2', 'rdt1585lv.1.0', 'rdt1585lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['50', '50', '50']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.37,55,75,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"2.397465, (-138.43), 71.19763, (41.345), 71.16657, (41.421), ",shell,0.001303668,1,['1100'],7.6389,10.417,0.007,100,36,60,True,
Transformer.tr(r:rdt1586-rdt1586lv),1,3,3,rdt1586lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1586.3', 'rdt1586lv.1.0', 'rdt1586lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"1.471157, (114.26), 43.64412, (-65.842), 43.63628, (-65.744), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1587-rdt1587lv),1,3,3,rdt1587lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1587.1', 'rdt1587lv.1.0', 'rdt1587lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.8487975, (-29.213), 25.03377, (150.23), 25.02174, (150.28), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
Transformer.tr(r:rdt1588-rdt1588lv),1,3,3,rdt1588lv.0.2,wye ,0.12,25,1,0.532544,-1,0,"['rdt1588.1', 'rdt1588lv.1.0', 'rdt1588lv.0.2']","['wye', 'wye', 'wye']","['7.2', '0.12', '0.12']","['25', '25', '25']","['1', '1', '1']",2.4,1.6,2.4,"['2.4', '1.6', '2.4']",2,.8,.8,65,15,0.798816,0.472,27.5,37.5,n,1.1,0.9,32,,0,1,"['0.266272', '0.532544', '0.532544']",,,NO,2.4,1.6,2.4,Lag,"0.5853697, (-11.147), 17.07343, (168.54), 17.07093, (168.58), ",shell,0.002607335,1,['1100'],3.8194,5.2083,0.007,100,36,60,True,
