,Transformer,HighSideConnection,NumPhases
103,Transformer.tr(r:rdt1524-rdt1524lv),wye,1
104,Transformer.tr(r:rdt1525-rdt1525lv),wye,1
105,Transformer.tr(r:rdt1526-rdt1526lv),wye,1
106,Transformer.tr(r:rdt1527-rdt1527lv),wye,1
107,Transformer.tr(r:rdt1528-rdt1528lv),wye,1
108,Transformer.tr(r:rdt1529-rdt1529lv),wye,1
109,Transformer.tr(r:rdt1530-rdt1530lv),wye,1
110,Transformer.tr(r:rdt1531-rdt1531lv),wye,1
111,Transformer.tr(r:rdt1532-rdt1532lv),wye,1
112,Transformer.tr(r:rdt1533-rdt1533lv),wye,1
113,Transformer.tr(r:rdt1538-rdt1538lv),wye,1
114,Transformer.tr(r:rdt1540-rdt1540lv),wye,1
115,Transformer.tr(r:rdt1541-rdt1541lv),wye,1
116,Transformer.tr(r:rdt1542-rdt1542lv),wye,1
117,Transformer.tr(r:rdt1543-rdt1543lv),wye,1
118,Transformer.tr(r:rdt1544-rdt1544lv),wye,1
119,Transformer.tr(r:rdt1545-rdt1545lv),wye,1
120,Transformer.tr(r:rdt1546-rdt1546lv),wye,1
121,Transformer.tr(r:rdt1547-rdt1547lv),wye,1
122,Transformer.tr(r:rdt1548-rdt1548lv),wye,1
123,Transformer.tr(r:rdt1549-rdt1549lv),wye,1
124,Transformer.tr(r:rdt1550-rdt1550lv),wye,1
125,Transformer.tr(r:rdt1551-rdt1551lv),wye,1
126,Transformer.tr(r:rdt1552-rdt1552lv),wye,1
127,Transformer.tr(r:rdt1553-rdt1553lv),wye,1
128,Transformer.tr(r:rdt1554-rdt1554lv),wye,1
129,Transformer.tr(r:rdt1555-rdt1555lv),wye,1
130,Transformer.tr(r:rdt1556-rdt1556lv),wye,1
131,Transformer.tr(r:rdt1557-rdt1557lv),wye,1
132,Transformer.tr(r:rdt1558-rdt1558lv),wye,1
133,Transformer.tr(r:rdt1559-rdt1559lv),wye,1
134,Transformer.tr(r:rdt1560-rdt1560lv),wye,1
135,Transformer.tr(r:rdt1561-rdt1561lv),wye,1
136,Transformer.tr(r:rdt1562-rdt1562lv),wye,1
137,Transformer.tr(r:rdt1563-rdt1563lv),wye,1
138,Transformer.tr(r:rdt1564-rdt1564lv),wye,1
139,Transformer.tr(r:rdt1575-rdt1575lv),wye,1
140,Transformer.tr(r:rdt1576-rdt1576lv),wye,1
141,Transformer.tr(r:rdt1577-rdt1577lv),wye,1
142,Transformer.tr(r:rdt1578-rdt1578lv),wye,1
143,Transformer.tr(r:rdt1579-rdt1579lv),wye,3
144,Transformer.tr(r:rdt1580-rdt1580lv),wye,1
145,Transformer.tr(r:rdt1581-rdt1581lv),wye,1
146,Transformer.tr(r:rdt1582-rdt1582lv),wye,1
147,Transformer.tr(r:rdt1583-rdt1583lv),wye,1
148,Transformer.tr(r:rdt1584-rdt1584lv),wye,1
149,Transformer.tr(r:rdt1585-rdt1585lv),wye,1
150,Transformer.tr(r:rdt1586-rdt1586lv),wye,1
151,Transformer.tr(r:rdt1587-rdt1587lv),wye,1
152,Transformer.tr(r:rdt1588-rdt1588lv),wye,1
153,Transformer.tr(r:rdt1589-rdt1589lv),wye,1
154,Transformer.tr(r:rdt1590-rdt1590lv),wye,1
155,Transformer.tr(r:rdt1591-rdt1591lv),wye,1
156,Transformer.tr(r:rdt1592-rdt1592lv),wye,1
157,Transformer.tr(r:rdt1593-rdt1593lv),wye,1
158,Transformer.tr(r:rdt1594-rdt1594lv),wye,1
159,Transformer.tr(r:rdt1595-rdt1595lv),wye,1
160,Transformer.tr(r:rdt1596-rdt1596lv),wye,1
161,Transformer.tr(r:rdt1597-rdt1597lv),wye,1
162,Transformer.tr(r:rdt1598-rdt1598lv),wye,1
163,Transformer.tr(r:rdt1599-rdt1599lv),wye,1
164,Transformer.tr(r:rdt1600-rdt1600lv),wye,1
165,Transformer.tr(r:rdt1601-rdt1601lv),wye,1
166,Transformer.tr(r:rdt1602-rdt1602lv),wye,1
167,Transformer.tr(r:rdt1603-rdt1603lv),wye,1
168,Transformer.tr(r:rdt1604-rdt1604lv),wye,1
169,Transformer.tr(r:rdt1605-rdt1605lv),wye,1
170,Transformer.tr(r:rdt1606-rdt1606lv),wye,1
171,Transformer.tr(r:rdt1607-rdt1607lv),wye,1
172,Transformer.tr(r:rdt1608-rdt1608lv),wye,1
173,Transformer.tr(r:rdt1609-rdt1609lv),wye,1
174,Transformer.tr(r:rdt1610-rdt1610lv),wye,1
175,Transformer.tr(r:rdt1611-rdt1611lv),wye,1
176,Transformer.tr(r:rdt1612-rdt1612lv),wye,1
177,Transformer.tr(r:rdt1613-rdt1613lv),wye,1
178,Transformer.tr(r:rdt1614-rdt1614lv),wye,1
179,Transformer.tr(r:rdt1615-rdt1615lv),wye,1
180,Transformer.tr(r:rdt1616-rdt1616lv),wye,1
181,Transformer.tr(r:rdt1617-rdt1617lv),wye,1
182,Transformer.tr(r:rdt1618-rdt1618lv),wye,1
183,Transformer.tr(r:rdt1619-rdt1619lv),wye,1
184,Transformer.tr(r:rdt1620-rdt1620lv),wye,1
185,Transformer.tr(r:rdt1621-rdt1621lv),wye,1
186,Transformer.tr(r:rdt1622-rdt1622lv),wye,1
187,Transformer.tr(r:rdt1623-rdt1623lv),wye,1
188,Transformer.tr(r:rdt1624-rdt1624lv),wye,1
189,Transformer.tr(r:rdt1625-rdt1625lv),wye,1
190,Transformer.tr(r:rdt1626-rdt1626lv),wye,1
191,Transformer.tr(r:rdt1627-rdt1627lv),wye,1
192,Transformer.tr(r:rdt1628-rdt1628lv),wye,1
193,Transformer.tr(r:rdt1629-rdt1629lv),wye,1
194,Transformer.tr(r:rdt1630-rdt1630lv),wye,1
195,Transformer.tr(r:rdt1631-rdt1631lv),wye,1
196,Transformer.tr(r:rdt1632-rdt1632lv),wye,1
197,Transformer.tr(r:rdt1633-rdt1633lv),wye,1
198,Transformer.tr(r:rdt1634-rdt1634lv),wye,1
199,Transformer.tr(r:rdt1635-rdt1635lv),wye,1
200,Transformer.tr(r:rdt1636-rdt1636lv),wye,1
201,Transformer.tr(r:rdt1637-rdt1637lv),wye,1
202,Transformer.tr(r:rdt1638-rdt1638lv),wye,1
203,Transformer.tr(r:rdt1639-rdt1639lv),wye,1
204,Transformer.tr(r:rdt1640-rdt1640lv),wye,1
205,Transformer.tr(r:rdt1641-rdt1641lv),wye,1
