,element,terminal,mode,action,residual,VIPolar,PPolar,basefreq,enabled,like
Monitor.m1,line.l(r:p2udt4058-p2uhs12_1247),1,0,,NO,YES,YES,60,True,
Monitor.m2,line.l(r:p2udt4058-p2uhs12_1247),1,1,,NO,YES,YES,60,True,
