,Transformer,HighSideConnection,NumPhases
95,Transformer.tr(r:rdt95-rdt95lv),wye,1
96,Transformer.tr(r:rdt96-rdt96lv),wye,1
97,Transformer.tr(r:rdt97-rdt97lv),wye,1
98,Transformer.tr(r:rdt98-rdt98lv),wye,1
99,Transformer.tr(r:rdt99-rdt99lv),wye,1
100,Transformer.tr(r:rdt100-rdt100lv),wye,1
101,Transformer.tr(r:rdt101-rdt101lv),wye,1
102,Transformer.tr(r:rdt102-rdt102lv),wye,1
103,Transformer.tr(r:rdt103-rdt103lv),wye,1
104,Transformer.tr(r:rdt104-rdt104lv),wye,1
105,Transformer.tr(r:rdt105-rdt105lv),wye,1
106,Transformer.tr(r:rdt106-rdt106lv),wye,1
107,Transformer.tr(r:rdt107-rdt107lv),wye,1
108,Transformer.tr(r:rdt108-rdt108lv),wye,1
109,Transformer.tr(r:rdt109-rdt109lv),wye,1
110,Transformer.tr(r:rdt110-rdt110lv),wye,1
111,Transformer.tr(r:rdt111-rdt111lv),wye,1
112,Transformer.tr(r:rdt112-rdt112lv),wye,1
113,Transformer.tr(r:rdt113-rdt113lv),wye,1
114,Transformer.tr(r:rdt114-rdt114lv),wye,1
115,Transformer.tr(r:rdt115-rdt115lv),wye,1
116,Transformer.tr(r:rdt116-rdt116lv),wye,1
117,Transformer.tr(r:rdt117-rdt117lv),wye,1
118,Transformer.tr(r:rdt118-rdt118lv),wye,1
119,Transformer.tr(r:rdt119-rdt119lv),wye,1
120,Transformer.tr(r:rdt120-rdt120lv),wye,1
121,Transformer.tr(r:rdt121-rdt121lv),wye,1
122,Transformer.tr(r:rdt122-rdt122lv),wye,1
123,Transformer.tr(r:rdt123-rdt123lv),wye,1
124,Transformer.tr(r:rdt124-rdt124lv),wye,1
125,Transformer.tr(r:rdt125-rdt125lv),wye,1
126,Transformer.tr(r:rdt126-rdt126lv),wye,1
127,Transformer.tr(r:rdt127-rdt127lv),wye,1
128,Transformer.tr(r:rdt128-rdt128lv),wye,1
129,Transformer.tr(r:rdt129-rdt129lv),wye,1
130,Transformer.tr(r:rdt130-rdt130lv),wye,1
131,Transformer.tr(r:rdt131-rdt131lv),wye,1
132,Transformer.tr(r:rdt132-rdt132lv),wye,1
133,Transformer.tr(r:rdt133-rdt133lv),wye,1
134,Transformer.tr(r:rdt134-rdt134lv),wye,1
135,Transformer.tr(r:rdt135-rdt135lv),wye,1
136,Transformer.tr(r:rdt136-rdt136lv),wye,1
137,Transformer.tr(r:rdt137-rdt137lv),wye,1
138,Transformer.tr(r:rdt138-rdt138lv),wye,1
139,Transformer.tr(r:rdt139-rdt139lv),wye,1
140,Transformer.tr(r:rdt140-rdt140lv),wye,1
141,Transformer.tr(r:rdt141-rdt141lv),wye,1
142,Transformer.tr(r:rdt142-rdt142lv),wye,1
143,Transformer.tr(r:rdt143-rdt143lv),wye,1
144,Transformer.tr(r:rdt144-rdt144lv),wye,1
145,Transformer.tr(r:rdt145-rdt145lv),wye,1
146,Transformer.tr(r:rdt146-rdt146lv),wye,1
147,Transformer.tr(r:rdt147-rdt147lv),wye,1
148,Transformer.tr(r:rdt148-rdt148lv),wye,1
149,Transformer.tr(r:rdt149-rdt149lv),wye,1
150,Transformer.tr(r:rdt150-rdt150lv),wye,1
151,Transformer.tr(r:rdt151-rdt151lv),wye,1
152,Transformer.tr(r:rdt152-rdt152lv),wye,1
153,Transformer.tr(r:rdt153-rdt153lv),wye,1
154,Transformer.tr(r:rdt154-rdt154lv),wye,1
155,Transformer.tr(r:rdt155-rdt155lv),wye,1
156,Transformer.tr(r:rdt156-rdt156lv),wye,1
157,Transformer.tr(r:rdt157-rdt157lv),wye,1
158,Transformer.tr(r:rdt158-rdt158lv),wye,3
159,Transformer.tr(r:rdt159-rdt159lv),wye,1
160,Transformer.tr(r:rdt160-rdt160lv),wye,3
161,Transformer.tr(r:rdt161-rdt161lv),wye,3
162,Transformer.tr(r:rdt162-rdt162lv),wye,1
163,Transformer.tr(r:rdt163-rdt163lv),wye,1
164,Transformer.tr(r:rdt164-rdt164lv),wye,1
165,Transformer.tr(r:rdt165-rdt165lv),wye,1
166,Transformer.tr(r:rdt166-rdt166lv),wye,1
167,Transformer.tr(r:rdt167-rdt167lv),wye,1
168,Transformer.tr(r:rdt168-rdt168lv),wye,1
169,Transformer.tr(r:rdt169-rdt169lv),wye,1
170,Transformer.tr(r:rdt170-rdt170lv),wye,1
171,Transformer.tr(r:rdt171-rdt171lv),wye,1
172,Transformer.tr(r:rdt172-rdt172lv),wye,1
173,Transformer.tr(r:rdt173-rdt173lv),wye,1
174,Transformer.tr(r:rdt174-rdt174lv),wye,1
175,Transformer.tr(r:rdt175-rdt175lv),wye,1
176,Transformer.tr(r:rdt176-rdt176lv),wye,1
177,Transformer.tr(r:rdt177-rdt177lv),wye,1
178,Transformer.tr(r:rdt178-rdt178lv),wye,1
179,Transformer.tr(r:rdt179-rdt179lv),wye,1
180,Transformer.tr(r:rdt180-rdt180lv),wye,1
181,Transformer.tr(r:rdt181-rdt181lv),wye,1
182,Transformer.tr(r:rdt182-rdt182lv),wye,1
183,Transformer.tr(r:rdt183-rdt183lv),wye,1
184,Transformer.tr(r:rdt184-rdt184lv),wye,1
185,Transformer.tr(r:rdt185-rdt185lv),wye,1
186,Transformer.tr(r:rdt186-rdt186lv),wye,1
187,Transformer.tr(r:rdt187-rdt187lv),wye,1
188,Transformer.tr(r:rdt188-rdt188lv),wye,1
189,Transformer.tr(r:rdt189-rdt189lv),wye,1
190,Transformer.tr(r:rdt190-rdt190lv),wye,1
191,Transformer.tr(r:rdt191-rdt191lv),wye,3
192,Transformer.tr(r:rdt192-rdt192lv),wye,1
193,Transformer.tr(r:rdt193-rdt193lv),wye,3
194,Transformer.tr(r:rdt194-rdt194lv),wye,3
195,Transformer.tr(r:rdt195-rdt195lv),wye,1
196,Transformer.tr(r:rdt196-rdt196lv),wye,1
197,Transformer.tr(r:rdt197-rdt197lv),wye,1
198,Transformer.tr(r:rdt198-rdt198lv),wye,3
199,Transformer.tr(r:rdt199-rdt199lv),wye,1
200,Transformer.tr(r:rdt200-rdt200lv),wye,1
201,Transformer.tr(r:rdt201-rdt201lv),wye,3
202,Transformer.tr(r:rdt202-rdt202lv),wye,1
203,Transformer.tr(r:rdt203-rdt203lv),wye,1
204,Transformer.tr(r:rdt204-rdt204lv),wye,1
205,Transformer.tr(r:rdt205-rdt205lv),wye,1
206,Transformer.tr(r:rdt206-rdt206lv),wye,1
207,Transformer.tr(r:rdt207-rdt207lv),wye,1
208,Transformer.tr(r:rdt208-rdt208lv),wye,1
209,Transformer.tr(r:rdt209-rdt209lv),wye,1
210,Transformer.tr(r:rdt210-rdt210lv),wye,3
211,Transformer.tr(r:rdt211-rdt211lv),wye,3
212,Transformer.tr(r:rdt212-rdt212lv),wye,3
213,Transformer.tr(r:rdt213-rdt213lv),wye,1
214,Transformer.tr(r:rdt214-rdt214lv),wye,1
215,Transformer.tr(r:rdt215-rdt215lv),wye,3
216,Transformer.tr(r:rdt216-rdt216lv),wye,1
217,Transformer.tr(r:rdt217-rdt217lv),wye,1
218,Transformer.tr(r:rdt218-rdt218lv),wye,1
219,Transformer.tr(r:rdt219-rdt219lv),wye,1
220,Transformer.tr(r:rdt220-rdt220lv),wye,1
221,Transformer.tr(r:rdt221-rdt221lv),wye,3
222,Transformer.tr(r:rdt222-rdt222lv),wye,3
223,Transformer.tr(r:rdt223-rdt223lv),wye,1
224,Transformer.tr(r:rdt224-rdt224lv),wye,1
225,Transformer.tr(r:rdt225-rdt225lv),wye,1
226,Transformer.tr(r:rdt226-rdt226lv),wye,1
227,Transformer.tr(r:rdt227-rdt227lv),wye,1
228,Transformer.tr(r:rdt228-rdt228lv),wye,3
229,Transformer.tr(r:rdt229-rdt229lv),wye,3
230,Transformer.tr(r:rdt230-rdt230lv),wye,3
231,Transformer.tr(r:rdt231-rdt231lv),wye,3
232,Transformer.tr(r:rdt232-rdt232lv),wye,1
233,Transformer.tr(r:rdt233-rdt233lv),wye,3
234,Transformer.tr(r:rdt234-rdt234lv),wye,1
235,Transformer.tr(r:rdt235-rdt235lv),wye,1
236,Transformer.tr(r:rdt236-rdt236lv),wye,1
237,Transformer.tr(r:rdt237-rdt237lv),wye,1
238,Transformer.tr(r:rdt238-rdt238lv),wye,1
239,Transformer.tr(r:rdt239-rdt239lv),wye,1
240,Transformer.tr(r:rdt240-rdt240lv),wye,3
241,Transformer.tr(r:rdt241-rdt241lv),wye,1
242,Transformer.tr(r:rdt242-rdt242lv),wye,1
243,Transformer.tr(r:rdt243-rdt243lv),wye,3
244,Transformer.tr(r:rdt244-rdt244lv),wye,1
245,Transformer.tr(r:rdt245-rdt245lv),wye,1
246,Transformer.tr(r:rdt246-rdt246lv),wye,1
247,Transformer.tr(r:rdt247-rdt247lv),wye,1
248,Transformer.tr(r:rdt248-rdt248lv),wye,1
249,Transformer.tr(r:rdt249-rdt249lv),wye,1
250,Transformer.tr(r:rdt250-rdt250lv),wye,1
251,Transformer.tr(r:rdt251-rdt251lv),wye,1
252,Transformer.tr(r:rdt252-rdt252lv),wye,1
253,Transformer.tr(r:rdt253-rdt253lv),wye,1
254,Transformer.tr(r:rdt254-rdt254lv),wye,1
255,Transformer.tr(r:rdt255-rdt255lv),wye,1
256,Transformer.tr(r:rdt256-rdt256lv),wye,1
257,Transformer.tr(r:rdt257-rdt257lv),wye,1
258,Transformer.tr(r:rdt258-rdt258lv),wye,1
259,Transformer.tr(r:rdt259-rdt259lv),wye,1
260,Transformer.tr(r:rdt260-rdt260lv),wye,1
261,Transformer.tr(r:rdt261-rdt261lv),wye,1
262,Transformer.tr(r:rdt262-rdt262lv),wye,1
263,Transformer.tr(r:rdt263-rdt263lv),wye,1
264,Transformer.tr(r:rdt264-rdt264lv),wye,1
265,Transformer.tr(r:rdt265-rdt265lv),wye,1
266,Transformer.tr(r:rdt266-rdt266lv),wye,1
267,Transformer.tr(r:rdt267-rdt267lv),wye,1
268,Transformer.tr(r:rdt268-rdt268lv),wye,1
269,Transformer.tr(r:rdt269-rdt269lv),wye,1
270,Transformer.tr(r:rdt270-rdt270lv),wye,1
271,Transformer.tr(r:rdt271-rdt271lv),wye,1
272,Transformer.tr(r:rdt272-rdt272lv),wye,1
273,Transformer.tr(r:rdt273-rdt273lv),wye,1
274,Transformer.tr(r:rdt274-rdt274lv),wye,1
275,Transformer.tr(r:rdt275-rdt275lv),wye,1
276,Transformer.tr(r:rdt276-rdt276lv),wye,1
277,Transformer.tr(r:rdt277-rdt277lv),wye,1
278,Transformer.tr(r:rdt278-rdt278lv),wye,1
279,Transformer.tr(r:rdt279-rdt279lv),wye,1
280,Transformer.tr(r:rdt280-rdt280lv),wye,1
281,Transformer.tr(r:rdt281-rdt281lv),wye,1
282,Transformer.tr(r:rdt282-rdt282lv),wye,1
283,Transformer.tr(r:rdt283-rdt283lv),wye,1
284,Transformer.tr(r:rdt284-rdt284lv),wye,1
285,Transformer.tr(r:rdt285-rdt285lv),wye,1
286,Transformer.tr(r:rdt286-rdt286lv),wye,1
287,Transformer.tr(r:rdt287-rdt287lv),wye,1
288,Transformer.tr(r:rdt288-rdt288lv),wye,1
289,Transformer.tr(r:rdt289-rdt289lv),wye,1
290,Transformer.tr(r:rdt290-rdt290lv),wye,1
291,Transformer.tr(r:rdt291-rdt291lv),wye,1
292,Transformer.tr(r:rdt292-rdt292lv),wye,1
293,Transformer.tr(r:rdt293-rdt293lv),wye,1
294,Transformer.tr(r:rdt294-rdt294lv),wye,1
295,Transformer.tr(r:rdt295-rdt295lv),wye,1
296,Transformer.tr(r:rdt296-rdt296lv),wye,1
297,Transformer.tr(r:rdt297-rdt297lv),wye,1
298,Transformer.tr(r:rdt298-rdt298lv),wye,1
299,Transformer.tr(r:rdt299-rdt299lv),wye,1
300,Transformer.tr(r:rdt300-rdt300lv),wye,1
301,Transformer.tr(r:rdt331-rdt331lv),wye,1
302,Transformer.tr(r:rdt332-rdt332lv),wye,1
303,Transformer.tr(r:rdt333-rdt333lv),wye,1
304,Transformer.tr(r:rdt334-rdt334lv),wye,1
305,Transformer.tr(r:rdt335-rdt335lv),wye,1
306,Transformer.tr(r:rdt336-rdt336lv),wye,1
307,Transformer.tr(r:rdt337-rdt337lv),wye,1
308,Transformer.tr(r:rdt338-rdt338lv),wye,1
309,Transformer.tr(r:rdt339-rdt339lv),wye,1
310,Transformer.tr(r:rdt340-rdt340lv),wye,1
311,Transformer.tr(r:rdt341-rdt341lv),wye,1
312,Transformer.tr(r:rdt342-rdt342lv),wye,1
313,Transformer.tr(r:rdt343-rdt343lv),wye,1
314,Transformer.tr(r:rdt344-rdt344lv),wye,1
315,Transformer.tr(r:rdt345-rdt345lv),wye,1
316,Transformer.tr(r:rdt346-rdt346lv),wye,1
317,Transformer.tr(r:rdt347-rdt347lv),wye,1
318,Transformer.tr(r:rdt348-rdt348lv),wye,1
319,Transformer.tr(r:rdt349-rdt349lv),wye,1
320,Transformer.tr(r:rdt350-rdt350lv),wye,1
321,Transformer.tr(r:rdt351-rdt351lv),wye,1
322,Transformer.tr(r:rdt352-rdt352lv),wye,1
323,Transformer.tr(r:rdt353-rdt353lv),wye,1
324,Transformer.tr(r:rdt354-rdt354lv),wye,1
325,Transformer.tr(r:rdt355-rdt355lv),wye,1
326,Transformer.tr(r:rdt356-rdt356lv),wye,1
327,Transformer.tr(r:rdt357-rdt357lv),wye,1
328,Transformer.tr(r:rdt358-rdt358lv),wye,1
329,Transformer.tr(r:rdt359-rdt359lv),wye,1
330,Transformer.tr(r:rdt360-rdt360lv),wye,1
331,Transformer.tr(r:rdt361-rdt361lv),wye,1
332,Transformer.tr(r:rdt362-rdt362lv),wye,1
333,Transformer.tr(r:rdt363-rdt363lv),wye,1
334,Transformer.tr(r:rdt364-rdt364lv),wye,1
335,Transformer.tr(r:rdt365-rdt365lv),wye,1
336,Transformer.tr(r:rdt366-rdt366lv),wye,1
337,Transformer.tr(r:rdt367-rdt367lv),wye,1
338,Transformer.tr(r:rdt368-rdt368lv),wye,1
339,Transformer.tr(r:rdt369-rdt369lv),wye,1
340,Transformer.tr(r:rdt370-rdt370lv),wye,1
341,Transformer.tr(r:rdt371-rdt371lv),wye,1
342,Transformer.tr(r:rdt372-rdt372lv),wye,1
343,Transformer.tr(r:rdt373-rdt373lv),wye,1
344,Transformer.tr(r:rdt374-rdt374lv),wye,1
345,Transformer.tr(r:rdt375-rdt375lv),wye,1
346,Transformer.tr(r:rdt376-rdt376lv),wye,1
347,Transformer.tr(r:rdt377-rdt377lv),wye,1
348,Transformer.tr(r:rdt378-rdt378lv),wye,1
349,Transformer.tr(r:rdt379-rdt379lv),wye,1
350,Transformer.tr(r:rdt380-rdt380lv),wye,1
351,Transformer.tr(r:rdt381-rdt381lv),wye,1
352,Transformer.tr(r:rdt382-rdt382lv),wye,1
353,Transformer.tr(r:rdt383-rdt383lv),wye,1
354,Transformer.tr(r:rdt384-rdt384lv),wye,1
355,Transformer.tr(r:rdt385-rdt385lv),wye,1
356,Transformer.tr(r:rdt386-rdt386lv),wye,1
357,Transformer.tr(r:rdt387-rdt387lv),wye,1
358,Transformer.tr(r:rdt388-rdt388lv),wye,1
359,Transformer.tr(r:rdt389-rdt389lv),wye,1
360,Transformer.tr(r:rdt390-rdt390lv),wye,1
361,Transformer.tr(r:rdt391-rdt391lv),wye,1
362,Transformer.tr(r:rdt392-rdt392lv),wye,1
363,Transformer.tr(r:rdt393-rdt393lv),wye,1
364,Transformer.tr(r:rdt394-rdt394lv),wye,1
365,Transformer.tr(r:rdt395-rdt395lv),wye,1
