,phases,bus1,kV,kW,pf,model,yearly,daily,duty,growth,conn,kvar,Rneut,Xneut,status,class,Vminpu,Vmaxpu,Vminnorm,Vminemerg,xfkVA,allocationfactor,kVA,%mean,%stddev,CVRwatts,CVRvars,kwh,kwhdays,Cfactor,CVRcurve,NumCust,ZIPV,%SeriesRL,RelWeight,Vlowpu,puXharm,XRharm,spectrum,basefreq,enabled,like
Load.load_p1ilv534_2,1,p1ilv534.2,0.12,7.7216154611373,0.9752,1,res_kw_1013_pu,,,,wye,1.75360392303177,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,7.91823667545667,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv535_1,1,p1ilv535.1,0.12,9.66669925399557,0.9774,1,res_kw_46_pu,,,,wye,2.0902214801679,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,9.89010112705395,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv535_2,1,p1ilv535.2,0.12,9.66669925399557,0.9774,1,res_kw_46_pu,,,,wye,2.0902214801679,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,9.89010112705395,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv561,3,p1ilv561.1.2.3,0.48,29.0684766605355,0.9804,1,com_kw_14619_pu,,,,wye,5.84852956045026,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,29.6509971735111,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv563_1,1,p1ilv563.1,0.12,7.83825781837618,0.9753,1,com_kw_12884_pu,,,,wye,1.77469983727353,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,8.03665634077718,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv563_2,1,p1ilv563.2,0.12,7.83825781837618,0.9753,1,com_kw_12884_pu,,,,wye,1.77469983727353,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,8.03665634077718,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1678,3,p1ilv1678.1.2.3,0.48,138.294057597682,0.9796,1,com_kw_14617_pu,,,,wye,28.3642160296657,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,141.172855456737,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1766,3,p1ilv1766.1.2.3,0.48,47.4686691182993,0.9718,1,com_kw_14540_pu,,,,wye,11.5163393483503,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,48.8456816909023,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1820_1,1,p1ilv1820.1,0.12,5.77796878911447,0.9956,1,com_kw_15253_pu,,,,wye,0.542582308982751,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.80338856962051,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
Load.load_p1ilv1820_2,1,p1ilv1820.2,0.12,5.77796878911447,0.9956,1,com_kw_15253_pu,,,,wye,0.542582308982751,-1,0,variable,1,0.8,1.2,0.0,0.0,0.0,0.5,5.80338856962051,50,10,1,2,0,30,4,,1,,50,1,0.5,0,6,defaultload,60,True,
